H,PC,T,SU,S,W
low,green,19,leaf,male,0.159
low,green,21,leaf,female,0.2511
low,green,19,leaf,male,0.2289
low,green,21,off-leaf,male,0.196
low,green,21,off-leaf,male,0.1178
low,green,21,off-leaf,female,0.2312
low,green,21,off-leaf,female,0.2409
low,green,21,leaf,male,0.1958
low,green,21,leaf,male,0.1818
low,green,19,leaf,male,0.1962
low,green,19,leaf,male,0.1998
low,green,19,off-leaf,male,0.2004
low,green,19,leaf,female,0.1424
low,green,19,leaf,male,0.1678
low,green,17,off-leaf,female,0.2481
low,green,23,leaf,male,0.1655
low,green,23,off-leaf,male,0.1716
low,green,21,off-leaf,male,0.184
low,green,21,off-leaf,female,0.2298
low,green,23,off-leaf,male,0.1707
low,green,23,leaf,female,0.2182
low,green,23,off-leaf,female,0.2096
low,green,23,off-leaf,male,0.1848
low,green,23,off-leaf,male,0.1794
low,green,23,leaf,male,0.1682
low,green,23,leaf,male,0.2064
low,green,23,leaf,female,0.1771
low,green,23,leaf,male,0.1949
low,green,23,leaf,male,0.1834
low,green,23,leaf,male,0.2061
low,green,23,leaf,female,0.2147
low,green,22,leaf,male,0.2007
low,green,26,off-leaf,female,0.1275
low,green,26,off-leaf,female,0.181
low,green,26,off-leaf,male,0.1386
low,green,22,off-leaf,male,0.2292
low,green,22,leaf,female,0.2268
low,green,22,leaf,male,0.2312
low,green,24,leaf,male,0.1608
low,green,24,leaf,female,0.1759
low,green,24,off-leaf,female,0.2062
low,green,20,off-leaf,female,0.1855
low,green,20,leaf,female,0.1934
low,green,22,off-leaf,female,0.2168
low,green,22,leaf,female,0.1762
low,green,22,leaf,female,0.2007
low,green,26,leaf,male,0.1355
low,green,26,leaf,female,0.186
low,green,26,leaf,male,0.1545
low,green,26,leaf,female,0.1984
low,green,26,off-leaf,female,0.1254
low,green,26,off-leaf,female,0.1503
low,green,24,off-leaf,male,0.1746
low,green,24,off-leaf,male,0.2158
low,green,24,off-leaf,male,0.1603
low,green,24,off-leaf,male,0.2047
low,green,24,off-leaf,female,0.2178
low,green,24,leaf,female,0.1808
low,green,24,leaf,female,0.2351
low,green,24,leaf,female,0.2504
low,green,24,leaf,female,0.2545
low,green,26,leaf,female,0.1792
low,green,26,leaf,female,0.1954
low,green,26,leaf,female,0.2118
low,green,26,leaf,female,0.2279
low,green,26,leaf,male,0.2111
low,green,26,leaf,female,0.2364
low,green,26,leaf,male,0.1891
low,green,26,off-leaf,female,0.1811
low,green,26,off-leaf,female,0.1728
low,green,22,leaf,male,0.2448
low,green,22,off-leaf,male,0.2267
low,green,22,off-leaf,female,0.2068
low,green,29,leaf,male,0.1077
low,green,29,leaf,male,0.1115
low,green,31,leaf,female,0.2305
low,green,31,leaf,male,0.1343
low,green,34,off-leaf,female,0.1464
low,green,29,leaf,female,0.1865
low,green,29,leaf,male,0.141
low,green,29,leaf,male,0.1378
low,green,29,off-leaf,female,0.175
low,green,29,leaf,female,0.1686
low,green,29,off-leaf,male,0.1604
low,green,29,leaf,male,0.1214
low,green,23,off-leaf,male,0.1875
low,green,23,off-leaf,female,0.2198
low,green,23,off-leaf,female,0.2117
low,green,23,leaf,male,0.1631
low,green,23,leaf,female,0.2127
low,green,23,leaf,female,0.1669
low,green,23,leaf,female,0.1738
low,green,23,leaf,female,0.152
low,green,23,leaf,female,0.1634
low,green,36,leaf,male,0.1168
low,green,36,leaf,female,0.1609
low,green,24,leaf,male,0.1722
low,green,24,leaf,male,0.1304
low,green,24,leaf,male,0.1544
low,green,24,leaf,male,0.1306
low,green,24,off-leaf,male,0.1746
low,green,31,leaf,male,0.1624
low,green,31,leaf,female,0.1778
low,green,24,off-leaf,female,0.1728
low,green,24,leaf,female,0.2123
low,green,24,leaf,female,0.1892
low,green,24,leaf,male,0.1553
low,green,31,off-leaf,female,0.1496
low,green,31,off-leaf,female,0.1711
low,green,31,leaf,female,0.1754
low,green,31,leaf,male,0.1209
low,green,31,leaf,male,0.1531
low,green,31,leaf,female,0.1697
low,green,31,leaf,male,0.1378
low,green,29,off-leaf,male,0.1661
low,green,29,leaf,male,0.1791
low,green,29,leaf,male,0.1531
low,green,29,leaf,male,0.1517
low,green,27,leaf,female,0.1803
low,green,27,leaf,male,0.1501
low,green,27,leaf,male,0.1092
low,green,27,leaf,male,0.1764
low,green,27,leaf,male,0.1819
low,green,27,leaf,female,0.1795
low,green,27,leaf,male,0.1904
low,green,27,leaf,female,0.217
low,green,29,leaf,female,0.1423
low,green,29,leaf,female,0.1513
low,green,29,leaf,male,0.1258
low,green,29,off-leaf,male,0.1268
low,green,33,off-leaf,male,0.1466
low,green,33,off-leaf,male,0.1698
low,green,33,leaf,male,0.1471
low,green,33,leaf,male,0.1878
low,green,33,leaf,male,0.131
low,green,33,leaf,male,0.1423
low,green,33,leaf,male,0.1268
low,green,23,leaf,female,0.1176
low,green,33,off-leaf,female,0.1832
low,green,33,leaf,female,0.1165
low,green,33,off-leaf,female,0.1459
low,green,33,leaf,female,0.1534
low,green,33,leaf,male,0.1014
low,green,33,leaf,female,0.1022
low,green,33,off-leaf,male,0.1482
low,green,35,leaf,female,0.1875
low,green,35,leaf,male,0.1451
low,green,35,leaf,female,0.1745
low,green,35,leaf,male,0.1445
low,green,35,off-leaf,female,0.1671
low,green,35,off-leaf,male,0.1456
low,green,29,off-leaf,female,0.1574
low,green,29,off-leaf,male,0.1118
low,green,29,leaf,female,0.1476
low,green,29,leaf,female,0.1817
low,green,29,leaf,female,0.1358
low,green,29,leaf,female,0.1878
low,green,29,leaf,male,0.1576
low,green,26,leaf,female,0.1674
low,green,26,leaf,female,0.1648
low,green,28,off-leaf,female,0.2128
low,green,28,leaf,male,0.1662
low,green,26,leaf,female,0.2052
low,green,26,leaf,male,0.1853
low,green,26,leaf,female,0.1517
low,green,26,off-leaf,male,0.151
low,green,26,leaf,female,0.1986
low,green,25,leaf,male,0.2109
low,green,25,leaf,female,0.2206
low,green,25,off-leaf,male,0.1686
low,green,26,off-leaf,male,0.1723
low,green,30,leaf,male,0.1664
low,green,30,leaf,male,0.1688
low,green,30,leaf,female,0.1418
low,green,30,leaf,male,0.1602
low,green,30,off-leaf,male,0.1628
low,green,30,off-leaf,male,0.1329
low,green,30,leaf,female,0.1309
low,green,33,off-leaf,female,0.2283
low,green,33,leaf,female,0.2073
low,green,25,leaf,male,0.1704
low,green,25,leaf,male,0.1863
low,green,25,leaf,female,0.2076
low,green,25,off-leaf,male,0.1837
low,green,32,off-leaf,female,0.1656
low,green,32,off-leaf,male,0.1612
low,green,32,off-leaf,female,0.1136
low,green,32,leaf,female,0.1838
low,green,32,leaf,female,0.1703
low,green,32,leaf,male,0.1632
low,green,32,leaf,male,0.1736
low,green,32,leaf,male,0.1195
low,green,32,leaf,male,0.1497
low,green,32,leaf,female,0.1459
low,green,32,leaf,female,0.2067
low,green,32,leaf,female,0.148
low,green,32,off-leaf,male,0.1564
low,green,39,leaf,male,0.132
low,green,39,leaf,female,0.2158
low,green,39,off-leaf,female,0.1316
low,green,34,leaf,female,0.1898
low,green,34,leaf,male,0.1354
low,green,34,leaf,male,0.1535
low,green,34,leaf,male,0.1867
low,green,34,leaf,female,0.1464
low,green,35,leaf,female,0.1892
low,green,35,leaf,female,0.2322
low,green,35,leaf,female,0.2105
low,green,29,leaf,female,0.2042
low,green,29,off-leaf,female,0.1801
low,brown,20,off-leaf,female,0.2035
low,brown,24,off-leaf,female,0.2019
low,brown,26,off-leaf,female,0.1874
low,brown,26,off-leaf,male,0.1167
low,brown,26,off-leaf,female,0.1782
low,brown,21,off-leaf,male,0.189
low,brown,23,off-leaf,male,0.1951
low,brown,25,off-leaf,male,0.1151
low,brown,25,off-leaf,male,0.1413
low,brown,26,off-leaf,female,0.2079
high,green,19,leaf,male,0.1959
high,green,19,off-leaf,male,0.1637
high,green,19,off-leaf,male,0.1572
high,green,19,leaf,male,0.1442
high,green,17,leaf,female,0.1984
high,green,17,leaf,male,0.1905
high,green,23,off-leaf,male,0.1673
high,green,23,off-leaf,male,0.1628
high,green,23,off-leaf,male,0.1764
high,green,23,leaf,male,0.1664
high,green,23,leaf,male,0.1814
high,green,23,off-leaf,male,0.1819
high,green,19,off-leaf,male,0.2341
high,green,19,leaf,male,0.1697
high,green,19,leaf,male,0.2003
high,green,19,leaf,male,0.1845
high,green,19,leaf,female,0.2189
high,green,19,leaf,male,0.1681
high,green,23,leaf,female,0.2356
high,green,23,leaf,male,0.1556
high,green,23,off-leaf,female,0.2218
high,green,23,off-leaf,male,0.1879
high,green,19,leaf,female,0.1674
high,green,23,off-leaf,female,0.2194
high,green,23,off-leaf,female,0.174
high,green,23,leaf,male,0.1756
high,green,23,off-leaf,female,0.2049
high,green,21,leaf,female,0.2358
high,green,21,off-leaf,female,0.2393
high,green,21,off-leaf,male,0.1932
high,green,21,off-leaf,female,0.1861
high,green,21,off-leaf,male,0.1805
high,green,21,off-leaf,male,0.1717
high,green,24,off-leaf,male,0.1917
high,green,24,leaf,male,0.1871
high,green,24,leaf,female,0.1804
high,green,24,off-leaf,male,0.1394
high,green,24,leaf,male,0.1698
high,green,24,leaf,male,0.1566
high,green,24,leaf,female,0.2088
high,green,24,leaf,female,0.1693
high,green,24,leaf,male,0.1523
high,green,20,off-leaf,female,0.2291
